COMP_names,S1_exc,T1_exc,S1_T1_split,S1AtoA,S1AtoD,S1DtoA,S1DtoD,T1AtoA,T1AtoD,T1DtoA,T1DtoD,D_HOMO,D_LUMO,D_gap,A_HOMO,A_LUMO,A_gap,D_S1,D_T1,D_split,A_S1,A_T1,A_split,dft_dihedral_norm,SMILES,xyz_file_name,acceptor_index,donor_index
COMP12_220000,3.8489,2.3239,-0.7989,0.44076,0.07527,0.31888,0.16296,0.61097,0.08852,0.16121,0.13801,-8.7351,0.29088,9.026,-9.4247,-0.48354,8.9411,5.2815,3.5515,-1.8215,4.6699,2.8005,-0.9311,32.323,C1(c7c(Cl)c(Cl)c(s7)c8sc([H])c(Cl)c8(Cl))=CC=C([H])S1(=O)(=O),COMP12_220000.xyz,1,2
COMP12_230000,3.9428,2.5737,-1.2046,0.2715,0.06961,0.25721,0.39945,0.67508,0.06268,0.09676,0.16404000000000002,-8.9346,-1.0253,7.9093,-9.4247,-0.48354,8.9411,4.3726,2.9742,-1.5758,4.6699,2.8005,-0.9311,50.095,C1(c7c(Cl)c(C#N)c(s7)c8sc([H])c(Cl)c8(C#N))=CC=C([H])S1(=O)(=O),COMP12_230000.xyz,1,2
COMP12_240000,3.4211,2.1662,-0.9113,0.19528,0.03787,0.45588,0.30909000000000003,0.35100000000000003,0.06917000000000001,0.21073000000000006,0.36788,-7.2744,0.55674,7.8312,-9.4247,-0.48354,8.9411,4.5254,2.7474,-0.9694,4.6699,2.8005,-0.9311,33.847,C1(c7c(Cl)c(O)c(s7)c8sc([H])c(Cl)c8(O))=CC=C([H])S1(=O)(=O),COMP12_240000.xyz,1,2
COMP12_300000,3.6579,2.1737,-0.6895,0.33653,0.10791,0.28099,0.27264,0.48662,0.11157,0.16771,0.23287,-8.7109,-0.40762,8.3033,-9.4247,-0.48354,8.9411,4.841,3.0999,-1.3588,4.6699,2.8005,-0.9311,25.128,C1(c7c(C#N)c([H])c(s7)c8sc([H])c(C#N)c8([H]))=CC=C([H])S1(=O)(=O),COMP12_300000.xyz,1,2
COMP12_310000,3.6707,2.1765,-0.6823,0.33848,0.11306,0.27137,0.27499,0.49612,0.11649,0.16407,0.22206,-8.6358,-0.60001,8.0358,-9.4247,-0.48354,8.9411,4.7045,2.9078,-1.1111,4.6699,2.8005,-0.9311,24.301,C1(c7c(C#N)c(F)c(s7)c8sc([H])c(C#N)c8(F))=CC=C([H])S1(=O)(=O),COMP12_310000.xyz,1,2
COMP12_320000,3.851,2.2735,-0.696,0.45484,0.13072,0.23585,0.17638,0.57798,0.11548,0.14504,0.16016,-9.3776,-0.33769,9.0399,-9.4247,-0.48354,8.9411,5.3346,3.5649,-1.7952,4.6699,2.8005,-0.9311,25.274,C1(c7c(C#N)c(Cl)c(s7)c8sc([H])c(C#N)c8(Cl))=CC=C([H])S1(=O)(=O),COMP12_320000.xyz,1,2
COMP12_330000,3.8332,2.3259,-0.8186,0.39099,0.14367,0.20484,0.25814000000000004,0.58894,0.1144,0.12858,0.16668,-9.5237,-1.4759,8.0478,-9.4247,-0.48354,8.9411,4.4889,3.044,-1.5991,4.6699,2.8005,-0.9311,30.72,C1(c7c(C#N)c(C#N)c(s7)c8sc([H])c(C#N)c8(C#N))=CC=C([H])S1(=O)(=O),COMP12_330000.xyz,1,2
COMP12_340000,3.283,1.9475,-0.612,0.18427,0.06757,0.34867,0.39744,0.32395,0.09944,0.20862,0.36682,-7.7868,-0.13333,7.6535,-9.4247,-0.48354,8.9411,4.3356,2.712,-1.0884,4.6699,2.8005,-0.9311,22.19,C1(c7c(C#N)c(O)c(s7)c8sc([H])c(C#N)c8(O))=CC=C([H])S1(=O)(=O),COMP12_340000.xyz,1,2
COMP12_400000,3.3096,1.9764,-0.6432,0.292,0.04937,0.44665,0.21027,0.43736,0.08177999999999999,0.28226,0.19758,-7.4064,0.6829999999999999,8.0894,-9.4247,-0.48354,8.9411,4.6017,2.987,-1.3723,4.6699,2.8005,-0.9311,28.575,C1(c7c(O)c([H])c(s7)c8sc([H])c(O)c8([H]))=CC=C([H])S1(=O)(=O),COMP12_400000.xyz,1,2
COMP12_410000,3.4092,2.0621,-0.715,0.31518,0.04478,0.45859,0.17961,0.48411,0.07791000000000001,0.27015,0.16677,-7.5038,0.5635399999999999,8.0674,-9.4247,-0.48354,8.9411,4.7016,2.9088,-1.116,4.6699,2.8005,-0.9311,31.253,C1(c7c(O)c(F)c(s7)c8sc([H])c(O)c8(F))=CC=C([H])S1(=O)(=O),COMP12_410000.xyz,1,2
COMP12_420000,3.5204,2.1292,-0.738,0.34311,0.04154,0.47578,0.13765,0.52367,0.07517,0.2594,0.1406,-8.0889,0.73824,8.8271,-9.4247,-0.48354,8.9411,5.1404,3.4846,-1.8288,4.6699,2.8005,-0.9311,31.245,C1(c7c(O)c(Cl)c(s7)c8sc([H])c(O)c8(Cl))=CC=C([H])S1(=O)(=O),COMP12_420000.xyz,1,2
COMP12_430000,3.4054,2.1123,-0.8192,0.24822,0.0632,0.36654,0.31992,0.45189,0.08098999999999999,0.22895,0.2369,-8.2948,-0.6353800000000001,7.6595,-9.4247,-0.48354,8.9411,4.1768,2.8385,-1.5002,4.6699,2.8005,-0.9311,33.433,C1(c7c(O)c(C#N)c(s7)c8sc([H])c(O)c8(C#N))=CC=C([H])S1(=O)(=O),COMP12_430000.xyz,1,2
COMP12_440000,3.1478,1.8804,-0.613,0.24268,0.04041,0.47775,0.23733,0.38281,0.07719,0.3011,0.23788,-6.7748,1.1573,7.9321,-9.4247,-0.48354,8.9411,4.622,2.8086,-0.9952,4.6699,2.8005,-0.9311,27.478,C1(c7c(O)c(O)c(s7)c8sc([H])c(O)c8(O))=CC=C([H])S1(=O)(=O),COMP12_440000.xyz,1,2
COMP13_000000,4.1273,2.553,-0.9787,0.57539,0.04056,0.32298000000000004,0.0598,0.7903399999999999,0.05233,0.11506,0.04138,-8.146,2.1179,10.264,-9.4247,-0.48354,8.9411,5.5257,4.1759,-2.8261,4.6699,2.8005,-0.9311,40.69300000000001,C1(c7cc(C)c([H])cc7(C))=CC=C([H])S1(=O)(=O),COMP13_000000.xyz,1,3
COMP13_000010,4.1215,2.4726,-0.8237,0.6293,0.059920000000000015,0.25101,0.05879,0.75143,0.0669,0.12562,0.05534,-8.7773,2.0433,10.821,-9.4247,-0.48354,8.9411,5.7113,4.3018,-2.8923,4.6699,2.8005,-0.9311,28.029,C1(c7cc([H])c([H])cc7([H]))=CC=C([H])S1(=O)(=O),COMP13_000010.xyz,1,3
COMP13_000020,3.9112,2.4218,-0.9324,0.36762,0.03606,0.45769,0.13713,0.70426,0.06537000000000001,0.15307,0.0763,-7.2499,1.9668,9.2168,-9.4247,-0.48354,8.9411,5.1222,3.8508,-2.5794,4.6699,2.8005,-0.9311,27.872,C1(c7cc(OC)c([H])cc7(OC))=CC=C([H])S1(=O)(=O),COMP13_000020.xyz,1,3
COMP13_000030,4.4578,2.7137,-0.9696,0.7744800000000001,0.05133,0.13241,0.03991,0.92578,0.02809,0.03947,0.00542,-9.2584,-0.04027,9.2181,-9.4247,-0.48354,8.9411,5.0639,3.7294,-2.3949,4.6699,2.8005,-0.9311,64.889,C1(c7cc(C(=O)OC)c([H])cc7(C(=O)OC))=CC=C([H])S1(=O)(=O),COMP13_000030.xyz,1,3
COMP14_000000,3.7021,2.0965,-0.4909,0.39278,0.07495,0.3376,0.19389,0.48093,0.10093,0.21248000000000006,0.20508,-7.8793,1.1312,9.0105,-9.4247,-0.48354,8.9411,5.4245,3.4214,-1.4183,4.6699,2.8005,-0.9311,0.053081,C1(c7c([H])c8sc([H])c([H])c8s7)=CC=C([H])S1(=O)(=O),COMP14_000000.xyz,1,4
COMP14_100000,3.7347,2.1127,-0.4907,0.43067,0.091,0.29747,0.17995999999999998,0.50894,0.10393,0.19299,0.19354,-8.0886,0.70096,8.7895,-9.4247,-0.48354,8.9411,5.2456,3.3916,-1.5376,4.6699,2.8005,-0.9311,0.015921,C1(c7c(F)c8sc([H])c(F)c8s7)=CC=C([H])S1(=O)(=O),COMP14_100000.xyz,1,4
COMP14_200000,3.6564,2.0728,-0.4892,0.41435,0.09637,0.30275,0.18548,0.49636,0.10683,0.19264,0.2035,-8.2396,0.51293,8.7525,-9.4247,-0.48354,8.9411,5.2358,3.3606,-1.4854,4.6699,2.8005,-0.9311,0.073199,C1(c7c(Cl)c8sc([H])c(Cl)c8s7)=CC=C([H])S1(=O)(=O),COMP14_200000.xyz,1,4
COMP14_300000,3.7639,2.2182,-0.6725,0.40346,0.12053,0.27057,0.20375,0.51817,0.11327,0.15885,0.20867,-8.9833,-0.3551,8.6282,-9.4247,-0.48354,8.9411,5.237,3.2891,-1.3412,4.6699,2.8005,-0.9311,27.558000000000003,C1(c7c(C#N)c8sc([H])c(C#N)c8s7)=CC=C([H])S1(=O)(=O),COMP14_300000.xyz,1,4
COMP14_400000,3.3556,2.016,-0.6764,0.28758,0.0379,0.51179,0.16137,0.46552,0.0765,0.29356,0.1635,-7.3626,1.2466,8.6091,-9.4247,-0.48354,8.9411,5.0932,3.3425,-1.5918,4.6699,2.8005,-0.9311,29.03,C1(c7c(O)c8sc([H])c(O)c8s7)=CC=C([H])S1(=O)(=O),COMP14_400000.xyz,1,4
COMP15_000000,3.8289,2.3851,-0.9413,0.40411,0.04935,0.36998,0.17467,0.6697,0.07007000000000001,0.1668,0.0923,-7.2154,1.1529,8.3683,-9.4247,-0.48354,8.9411,4.552,3.6497,-2.7474,4.6699,2.8005,-0.9311,25.576,C1(c7cc8n(C)c9cc([H])ccc9c8cc7)=CC=C([H])S1(=O)(=O),COMP15_000000.xyz,1,5
COMP15_000010,3.8553,2.4,-0.9447,0.4157,0.05037,0.36574,0.16646,0.67775,0.06987,0.16205999999999998,0.08922999999999999,-7.3653,1.1369,8.5022,-9.4247,-0.48354,8.9411,4.6475,3.6662,-2.6849,4.6699,2.8005,-0.9311,26.473000000000006,C1(c7cc8n([H])c9cc([H])ccc9c8cc7)=CC=C([H])S1(=O)(=O),COMP15_000010.xyz,1,5
COMP15_000020,3.8611,2.4005,-0.9399,0.40314,0.05087,0.35102,0.19292,0.67895,0.07141,0.15835,0.09001,-7.3237,1.0152,8.3389,-9.4247,-0.48354,8.9411,4.522,3.6536,-2.7852,4.6699,2.8005,-0.9311,25.413,C1(c7cc8n(OC)c9cc([H])ccc9c8cc7)=CC=C([H])S1(=O)(=O),COMP15_000020.xyz,1,5
COMP15_000030,3.9207,2.446,-0.9713,0.44242,0.055770000000000014,0.3383,0.16126,0.7027100000000001,0.06757,0.14263,0.08571000000000001,-7.8456,0.93661,8.7822,-9.4247,-0.48354,8.9411,4.8707,3.6427,-2.4147,4.6699,2.8005,-0.9311,31.268,C1(c7cc8n(C(=O)OC)c9cc([H])ccc9c8cc7)=CC=C([H])S1(=O)(=O),COMP15_000030.xyz,1,5
COMP16_000000,3.8405,2.3831,-0.9257,0.40902,0.05349,0.35944,0.17600000000000002,0.65723,0.07178999999999999,0.16304000000000002,0.10662,-7.6657,1.055,8.7207,-9.4247,-0.48354,8.9411,5.0692,3.555,-2.0408,4.6699,2.8005,-0.9311,27.028,C1(c7cc8C(C)(C)c9cc([H])ccc9c8cc7)=CC=C([H])S1(=O)(=O),COMP16_000000.xyz,1,6
COMP16_000010,3.8634,2.3939,-0.9244,0.42275,0.0539,0.35532,0.16618,0.66538,0.07118,0.15980999999999998,0.10245,-7.6891,1.0884,8.7776,-9.4247,-0.48354,8.9411,5.1165,3.5856,-2.0547,4.6699,2.8005,-0.9311,27.11,C1(c7cc8C([H])([H])c9cc([H])ccc9c8cc7)=CC=C([H])S1(=O)(=O),COMP16_000010.xyz,1,6
COMP16_000020,3.8193,2.3531,-0.8869,0.39411,0.05993,0.33988,0.20364,0.6320399999999999,0.07696,0.1637,0.12584,-7.8246,0.83457,8.6592,-9.4247,-0.48354,8.9411,4.9541,3.4536,-1.9531,4.6699,2.8005,-0.9311,21.95,C1(c7cc8C(OC)(OC)c9cc([H])ccc9c8cc7)=CC=C([H])S1(=O)(=O),COMP16_000020.xyz,1,6
